id,first_name,last_name,email,enrollment_date
1,Mario,Silic,mariosilic@gmail.com,2025-02-19
2,Alice,Johnson,alice.johnson@gmail.com,2024-01-15
3,Bob,Smith,bob.smith@hotmail.com,2023-09-10
4,New Name,Davis,charlie.davis@email.com,2022-05-20
5,Diana,Lopez,diana.lopez@bluewin.ch,2024-02-01
6,Ethan,Brown,ethan.brown@gmail.com,2023-07-12
7,Fiona,Martinez,fiona.martinez@hotmail.com,2022-11-03
8,George,Wilson,george.wilson@email.com,2024-01-25
9,Hannah,Anderson,hannah.anderson@bluewin.ch,2023-08-14
10,Isaac,Taylor,isaac.taylor@gmail.com,2022-06-30
11,Julia,Thomas,julia.thomas@hotmail.com,2024-02-10
12,Kevin,Harris,kevin.harris@email.com,2023-04-22
13,Lena,White,lena.white@bluewin.ch,2022-09-05
14,Michael,Clark,michael.clark@gmail.com,2024-03-01
15,Nina,Rodriguez,nina.rodriguez@hotmail.com,2023-10-19
16,Oliver,Lewis,oliver.lewis@email.com,2022-07-27
17,Paula,Walker,paula.walker@bluewin.ch,2023-12-08
18,Quentin,Hall,quentin.hall@gmail.com,2022-05-18
19,Rachel,Allen,rachel.allen@hotmail.com,2024-01-29
20,Samuel,Young,samuel.young@email.com,2023-03-14
21,Tina,King,tina.king@bluewin.ch,2022-08-20
