id,first_name,last_name,email,enrollment_date
1,Mario,Silic,mariosilic@gmail.com,2025-02-19
2,Alice,Johnson,alice.johnson@email.com,2023-04-15
3,Bob,Smith,bob.smith@hotmail.com,2023-06-22
5,David,Miller,david.miller@bluewin.ch,2023-12-01
6,Emma,Davis,emma.davis@email.com,2024-02-14
7,Frank,Wilson,frank.wilson@hotmail.com,2024-05-05
8,Grace,Taylor,grace.taylor@gmail.com,2024-08-18
9,Henry,Anderson,henry.anderson@bluewin.ch,2024-11-30
10,Ivy,Thomas,ivy.thomas@email.com,2025-01-20
11,Jack,White,jack.white@hotmail.com,2025-03-10
